sheet,row,row_type,code,category,fiscal_year,region,income,basis,source,rigidity,formulas_text,coverage_text,years_covered,year_min,year_max,sample_formula,sample_year,measure,criteria_json,n_sumifs
Approved,7,TAG,EXP_ECON_PEN_CON_EXE,Social benefits - (pension contributions),Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under econ1 categories ""112 Mandatory state social insurance premiums"",""116 Employer's share of the mandatory health insurance premiums""",General Government,"2020,2021,2022,2023,2024",2020,2024,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ3_20,""212000 Contributii si prime de asigurari obligatorii"")",2020,approved_20,"[{""field"": ""year_20"", ""op"": ""=year"", ""value"": ""Q$1""}, {""field"": ""transfer_20"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_20"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""econ3_20"", ""op"": ""="", ""value"": ""212000 Contributii si prime de asigurari obligatorii""}]",1
Approved,8,TAG,EXP_ECON_CAP_EXP_EXE,Spending: Capital Expenditures,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under expenditure_type category ""Capital"".",General Government,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",2006,2015,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Capital"")",2006,approved,"[{""field"": ""year"", ""op"": ""=year"", ""value"": ""C$1""}, {""field"": ""transfer"", ""op"": ""="", ""value"": ""Excluding transfers""}, {""field"": ""exp_type"", ""op"": ""="", ""value"": ""Capital""}]",1
Approved,8,TAG,EXP_ECON_CAP_EXP_EXE,Spending: Capital Expenditures,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under expenditure_type category ""Capital"".",General Government,"2016,2017,2018,2019",2016,2019,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",exp_type_16,""capitale"")",2016,approved_16,"[{""field"": ""year_16"", ""op"": ""=year"", ""value"": ""M$1""}, {""field"": ""transfer_16"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_16"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""exp_type_16"", ""op"": ""="", ""value"": ""capitale""}]",1
Approved,8,TAG,EXP_ECON_CAP_EXP_EXE,Spending: Capital Expenditures,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under expenditure_type category ""Capital"".",General Government,"2020,2021,2022,2023,2024",2020,2024,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Capitale"")",2020,approved_20,"[{""field"": ""year_20"", ""op"": ""=year"", ""value"": ""Q$1""}, {""field"": ""transfer_20"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_20"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""exp_type_20"", ""op"": ""="", ""value"": ""Capitale""}]",1
Approved,9,HEADER,EXP_ECON_CAP_EXP_FOR_EXE,Spending: Capital Expenditures (foreign spending),Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,N/A,General Government,,,,,,,[],0
Approved,10,HEADER,EXP_ECON_CAP_MAI_EXE,Spending in capital maintenance,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"econ0_16,""Expenditures"",econ5,{""313120 Reparatii capitale ale instalatiilor de transmisie"",""312120 Reparatii capitale ale constructiilor speciale"",""318120 Reparatii capitale ale altor mijloace fixe""}",General Government,,,,,,,[],0
Approved,11,TAG,EXP_ECON_USE_GOO_SER_EXE,Spending: Use of Goods and services,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under econ1 category ""113 Payment for goods and services"".",General Government,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",2006,2015,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""113 Payment for goods and services"")",2006,approved,"[{""field"": ""year"", ""op"": ""=year"", ""value"": ""C$1""}, {""field"": ""transfer"", ""op"": ""="", ""value"": ""Excluding transfers""}, {""field"": ""econ1"", ""op"": ""="", ""value"": ""113 Payment for goods and services""}]",1
Approved,12,HEADER,EXP_ECON_GOO_SER_BAS_SER_EXE,Spending in Goods and services (basic services),Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"econ0_16,""Expenditures"",econ5_16,{""222110 Energie electrica"",""222120 Gaze"",""222300 Servicii de locatiune"",""222220 Servicii de telecomunicatii""}",General Government,,,,,,,[],0
Approved,13,TAG,EXP_ECON_GOO_SER_EMP_CON_EXE,Spending in Goods and services (employment contracts),Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"econ0_16,""Expenditures"",econ5_16,""222930 Servicii de cercetari stiintifice contractate""",General Government,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",2006,2015,"=SUM(SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.16 Research and innovation services contracted out by self-finance facilities""))",2006,approved,"[{""field"": ""year"", ""op"": ""=year"", ""value"": ""C$1""}, {""field"": ""transfer"", ""op"": ""="", ""value"": ""Excluding transfers""}, {""field"": ""econ2"", ""op"": ""="", ""value"": ""113.16 Research and innovation services contracted out by self-finance facilities""}]",1
Approved,13,TAG,EXP_ECON_GOO_SER_EMP_CON_EXE,Spending in Goods and services (employment contracts),Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"econ0_16,""Expenditures"",econ5_16,""222930 Servicii de cercetari stiintifice contractate""",General Government,2016,2016,2016,"=SUM(SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"",econ0_16,""Expenditures"",econ5_16,""222930 Servicii de cercetari stiintifice contractate""))",2016,approved_16,"[{""field"": ""year_16"", ""op"": ""=year"", ""value"": ""M$1""}, {""field"": ""transfer_16"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_16"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""econ5_16"", ""op"": ""="", ""value"": ""222930 Servicii de cercetari stiintifice contractate""}]",1
Approved,13,TAG,EXP_ECON_GOO_SER_EMP_CON_EXE,Spending in Goods and services (employment contracts),Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"econ0_16,""Expenditures"",econ5_16,""222930 Servicii de cercetari stiintifice contractate""",General Government,"2017,2018,2019",2017,2019,"=SUMIFS(approved_16,year_16,N$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",econ5_16,""222930 Servicii de cercetari stiintifice contractate"")",2017,approved_16,"[{""field"": ""year_16"", ""op"": ""=year"", ""value"": ""N$1""}, {""field"": ""transfer_16"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_16"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""econ5_16"", ""op"": ""="", ""value"": ""222930 Servicii de cercetari stiintifice contractate""}]",1
Approved,13,TAG,EXP_ECON_GOO_SER_EMP_CON_EXE,Spending in Goods and services (employment contracts),Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"econ0_16,""Expenditures"",econ5_16,""222930 Servicii de cercetari stiintifice contractate""",General Government,"2020,2021,2022,2023,2024",2020,2024,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ5_20,""222930 Servicii de cercetari stiintifice contractate"")",2020,approved_20,"[{""field"": ""year_20"", ""op"": ""=year"", ""value"": ""Q$1""}, {""field"": ""transfer_20"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_20"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""econ5_20"", ""op"": ""="", ""value"": ""222930 Servicii de cercetari stiintifice contractate""}]",1
Approved,14,TAG,EXP_ECON_REC_MAI_EXE,Spending in recurrent maintenance,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"econ0_16,""Expenditures"",econ5,{""222500 Servicii de reparatii curente""}",General Government,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",2006,2015,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.18 Current repair of equipment and inventory"")",2006,approved,"[{""field"": ""year"", ""op"": ""=year"", ""value"": ""C$1""}, {""field"": ""transfer"", ""op"": ""="", ""value"": ""Excluding transfers""}, {""field"": ""econ2"", ""op"": ""="", ""value"": ""113.18 Current repair of equipment and inventory""}]",1
Approved,15,TAG,EXP_ECON_SUB_EXE,Spending in subsidies,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"econ0_16,""Expenditures"",econ2_16,""250000 Subsidii""",General Government,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",2006,2015,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""132 Transfers for production purposes"")",2006,approved,"[{""field"": ""year"", ""op"": ""=year"", ""value"": ""C$1""}, {""field"": ""transfer"", ""op"": ""="", ""value"": ""Excluding transfers""}, {""field"": ""econ1"", ""op"": ""="", ""value"": ""132 Transfers for production purposes""}]",1
Approved,15,TAG,EXP_ECON_SUB_EXE,Spending in subsidies,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"econ0_16,""Expenditures"",econ2_16,""250000 Subsidii""",General Government,"2016,2017,2018,2019",2016,2019,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",econ2_16,""250000 Subsidii"")",2016,approved_16,"[{""field"": ""year_16"", ""op"": ""=year"", ""value"": ""M$1""}, {""field"": ""transfer_16"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_16"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""econ2_16"", ""op"": ""="", ""value"": ""250000 Subsidii""}]",1
Approved,15,TAG,EXP_ECON_SUB_EXE,Spending in subsidies,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"econ0_16,""Expenditures"",econ2_16,""250000 Subsidii""",General Government,"2020,2021,2022,2023,2024",2020,2024,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ2_20,""250000 Sub*"")",2020,approved_20,"[{""field"": ""year_20"", ""op"": ""=year"", ""value"": ""Q$1""}, {""field"": ""transfer_20"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_20"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""econ2_20"", ""op"": ""="", ""value"": ""250000 Sub*""}]",1
Approved,16,TAG,EXP_ECON_SUB_PRO_EXE,Spending: Subsidies to production,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under econ1 category ""132 Transfers for production purposes"".",General Government,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",2006,2015,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""132 Transfers for production purposes"")",2006,approved,"[{""field"": ""year"", ""op"": ""=year"", ""value"": ""C$1""}, {""field"": ""transfer"", ""op"": ""="", ""value"": ""Excluding transfers""}, {""field"": ""econ1"", ""op"": ""="", ""value"": ""132 Transfers for production purposes""}]",1
Approved,16,TAG,EXP_ECON_SUB_PRO_EXE,Spending: Subsidies to production,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under econ1 category ""132 Transfers for production purposes"".",General Government,"2016,2017,2018,2019",2016,2019,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",econ2_16,""250000 Subsidii"")",2016,approved_16,"[{""field"": ""year_16"", ""op"": ""=year"", ""value"": ""M$1""}, {""field"": ""transfer_16"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_16"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""econ2_16"", ""op"": ""="", ""value"": ""250000 Subsidii""}]",1
Approved,16,TAG,EXP_ECON_SUB_PRO_EXE,Spending: Subsidies to production,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under econ1 category ""132 Transfers for production purposes"".",General Government,"2020,2021,2022,2023,2024",2020,2024,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ2_20,""250000 Sub*"")",2020,approved_20,"[{""field"": ""year_20"", ""op"": ""=year"", ""value"": ""Q$1""}, {""field"": ""transfer_20"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_20"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""econ2_20"", ""op"": ""="", ""value"": ""250000 Sub*""}]",1
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2006,2006,2006,=SUM(C18:C20),2006,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2007,2007,2007,=SUM(D18:D20),2007,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2008,2008,2008,=SUM(E18:E20),2008,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2009,2009,2009,=SUM(F18:F20),2009,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2010,2010,2010,=SUM(G18:G20),2010,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2011,2011,2011,=SUM(H18:H20),2011,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2012,2012,2012,=SUM(I18:I20),2012,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2013,2013,2013,=SUM(J18:J20),2013,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2014,2014,2014,=SUM(K18:K20),2014,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2015,2015,2015,=SUM(L18:L20),2015,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2016,2016,2016,=SUM(M18:M20),2016,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2017,2017,2017,=SUM(N18:N20),2017,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2018,2018,2018,=SUM(O18:O20),2018,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2019,2019,2019,=SUM(P18:P20),2019,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2020,2020,2020,=SUM(Q18:Q20),2020,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2021,2021,2021,=SUM(R18:R20),2021,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2022,2022,2022,=SUM(S18:S20),2022,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2023,2023,2023,=SUM(T18:T20),2023,,[],0
Approved,17,ROLLUP,EXP_ECON_SOC_BEN_EXE,Social benefits,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" ",General Government,2024,2024,2024,=SUM(U18:U20),2024,,[],0
Approved,18,TAG,EXP_ECON_SOC_ASS_EXE,Social Assistance,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" excluding func2 variables ""10.01 Pensions for the military"" & ""10.21 Social benefits and pensions paid through the state social insurance budget""",General Government,2006,2006,2006,"=SUMIFS(approved,year,C$1,func1,""10 Social care and social insurance"",transfer,""Excluding transfers"")-C19",2006,approved,"[{""field"": ""year"", ""op"": ""=year"", ""value"": ""C$1""}, {""field"": ""func1"", ""op"": ""="", ""value"": ""10 Social care and social insurance""}, {""field"": ""transfer"", ""op"": ""="", ""value"": ""Excluding transfers""}]",1
Approved,18,TAG,EXP_ECON_SOC_ASS_EXE,Social Assistance,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" excluding func2 variables ""10.01 Pensions for the military"" & ""10.21 Social benefits and pensions paid through the state social insurance budget""",General Government,2007,2007,2007,"=SUMIFS(approved,year,D$1,func1,""10 Social care and social insurance"",transfer,""Excluding transfers"")-D19",2007,approved,"[{""field"": ""year"", ""op"": ""=year"", ""value"": ""D$1""}, {""field"": ""func1"", ""op"": ""="", ""value"": ""10 Social care and social insurance""}, {""field"": ""transfer"", ""op"": ""="", ""value"": ""Excluding transfers""}]",1
Approved,18,TAG,EXP_ECON_SOC_ASS_EXE,Social Assistance,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" excluding func2 variables ""10.01 Pensions for the military"" & ""10.21 Social benefits and pensions paid through the state social insurance budget""",General Government,2008,2008,2008,"=SUMIFS(approved,year,E$1,func1,""10 Social care and social insurance"",transfer,""Excluding transfers"")-E19",2008,approved,"[{""field"": ""year"", ""op"": ""=year"", ""value"": ""E$1""}, {""field"": ""func1"", ""op"": ""="", ""value"": ""10 Social care and social insurance""}, {""field"": ""transfer"", ""op"": ""="", ""value"": ""Excluding transfers""}]",1
Approved,18,TAG,EXP_ECON_SOC_ASS_EXE,Social Assistance,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under func1 category ""10 Social care and social insurance"" excluding func2 variables ""10.01 Pensions for the military"" & ""10.21 Social benefits and pensions paid through the state social insurance budget""",General Government,"2020,2021,2022,2023,2024",2020,2024,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",admin2_20,""Social Insurance Fund"",econ3_20,""272000 Prestatii de asistenta sociala"")",2020,approved_20,"[{""field"": ""year_20"", ""op"": ""=year"", ""value"": ""Q$1""}, {""field"": ""transfer_20"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_20"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""admin2_20"", ""op"": ""="", ""value"": ""Social Insurance Fund""}, {""field"": ""econ3_20"", ""op"": ""="", ""value"": ""272000 Prestatii de asistenta sociala""}]",1
