code,category,tag_kind,econ,econ_sub,func,func_sub,decompose_notes,criteria_summary
EXP_FUNC_PRI_EDU_EXE,Spending in primary education,EXP_FUNC,,,Education,Primary education,,transfer=Excluding transfers AND func1=06 Education AND func2=06.01 Preschool education OR transfer=Excluding transfers AND func1=06 Education AND func2=06.02 Primary education
EXP_FUNC_PRI_SEC_EDU_EXE,Spending in primary and secondary education,EXP_FUNC,,,Education,Primary and secondary education,,transfer=Excluding transfers AND func1=06 Education AND func2=06.01 Preschool education OR transfer=Excluding transfers AND func1=06 Education AND func2=06.02 Primary education OR transfer=Excluding transfers AND func1=06 Education AND func2=06.03 Secondary education
EXP_FUNC_PUB_SAF_EXE,Spending in public safety,EXP_FUNC,,,Public order and safety,,,transfer=Excluding transfers AND func1=05 Enforcement of public order and national security
EXP_FUNC_REV_CUS_EXC_EXE,"Recreation, culture and religion (COFOG 708)",EXP_FUNC,,,"Recreation, culture and religion",,"code token REV_CUS_EXC appears mislabeled: the workbook's category is 'Recreation, culture and religion (COFOG 708)' — rename the code upstream or treat as COFOG 708","transfer=Excluding transfers AND func1=08 Culture, arts, sports and youth activities"
EXP_FUNC_ROA_EXE,Spending in roads,EXP_FUNC,,,Economic affairs,Roads,,"transfer=Excluding transfers AND func1=14 Transports, roads, communications and IT AND func2=14.07 Roads service"
EXP_FUNC_SBN_AGR_EXE,Subnational: Spending in agriculture,EXP_FUNC,,,Economic affairs,Agriculture,Moldova subnational tag — confirm admin0/geo0 handling with SME,"transfer=Excluding transfers AND func1=11 Agriculture, forestry, fishery and water service AND admin1=local"
EXP_FUNC_SBN_EDU_EXE,Subnational: Spending in education,EXP_FUNC,,,Education,,Moldova subnational tag — confirm admin0/geo0 handling with SME,transfer=Excluding transfers AND func1=06 Education AND admin1=local
EXP_FUNC_SBN_HEA_EXE,Subnational: Spending in health,EXP_FUNC,,,Health,,Moldova subnational tag — confirm admin0/geo0 handling with SME,transfer=Excluding transfers AND func1=09 Healthcare AND admin1=local
EXP_FUNC_SEC_EDU_EXE,Spending in secondary education,EXP_FUNC,,,Education,Secondary education,,transfer=Excluding transfers AND func1=06 Education AND func2=06.03 Secondary education
EXP_FUNC_SOC_PRO_EXE,Social Protection (COFOG 710),EXP_FUNC,,,Social protection,,,transfer=Excluding transfers AND func1=10 Social care and social insurance
EXP_FUNC_TEL_EXE,Spending in telecoms,EXP_FUNC,,,Economic affairs,Telecom,,transfer=Excluding transfers AND func2=08.03 TV and radio broadcasting
EXP_FUNC_TER_EDU_EXE,Spending in tertiary education,EXP_FUNC,,,Education,Tertiary education,,transfer=Excluding transfers AND func1=06 Education AND func2=06.04 Higher education OR transfer=Excluding transfers AND func1=06 Education AND func2=06.05 Postgraduate education
EXP_FUNC_TRA_EXE,Spending in transport,EXP_FUNC,,,Economic affairs,,,"transfer=Excluding transfers AND func1=14 Transports, roads, communications and IT AND func2<>14.08 Communications and IT"
EXP_FUNC_WAT_SAN_EXE,Spending in water and sanitation,EXP_FUNC,,,Housing and community amenities,Water supply,,"transfer=Excluding transfers AND func2=11.04 Water service OR 'Raw2'!$A:$A=yearC$1 AND 'Raw2'!$E:$E=Excluding transfers AND 'Raw2'!$B:$B=740 National water supply and sanitation project OR 'Raw2'!$A:$A=yearC$1 AND 'Raw2'!$E:$E=Excluding transfers AND 'Raw2'!$B:$B=904 Construction, Rehabilitation and Expansion of Water Supply and Sewerage Networks and Road Repairs in Chisinau Municipality Project OR 'Raw2'!$A:$A=yearC$1 AND 'Raw2'!$E:$E=Excluding transfers AND 'Raw2'!$B:$B=911 Water supply and sanitation program in Moldova(ApaSan) OR 'Raw2'!$A:$A=yearC$1 AND 'Raw2'!$E:$E=Excluding transfers AND 'Raw2'!$B:$B=923 Clean Water - for Beneficiaries of Localities OR 'Raw2'!$A:$A=yearC$1 AND 'Raw2'!$E:$E=Excluding transfers AND 'Raw2'!$B:$B=925 Improvement of Ecological State of Prut and Nistru Basins through Improvement of Waste Water Treatment Systems in Cernauti and Drochia OR 'Raw2'!$A:$A=yearC$1 AND 'Raw2'!$E:$E=Excluding transfers AND 'Raw2'!$B:$B=939 Water Supply System Rehabilitation Project in Nisporeni rayon OR 'Raw2'!$A:$A=yearC$1 AND 'Raw2'!$E:$E=Excluding transfers AND 'Raw2'!$B:$B=752 Water Supply Service Development Program"
EXP_FUNC_WAT_TRA_EXE,Spending in water transport,EXP_FUNC,,,Economic affairs,Water transport,,transfer=Excluding transfers AND func2=14.02 Naval transportation
